path,filename,video_id,ok_read,sample_rate,channels,duration_s,rms_dbfs,peak_dbfs,silence_ratio,clipping_ratio,keep_auto,reason
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_086.wav,0eDJFB70peE_seg_086.wav,0eDJFB70peE,True,16000,1,3.0,-44.7783,-12.8136,0.9514,0.0,False,mostly_silence:0.95
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_087.wav,0eDJFB70peE_seg_087.wav,0eDJFB70peE,True,16000,1,3.0,-49.4883,-27.9968,0.9207,0.0,False,mostly_silence:0.92
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_088.wav,0eDJFB70peE_seg_088.wav,0eDJFB70peE,True,16000,1,3.0,-58.836,-29.5684,0.9984,0.0,False,too_quiet:-58.8dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_089.wav,0eDJFB70peE_seg_089.wav,0eDJFB70peE,True,16000,1,3.0,-58.7599,-37.6195,0.9983,0.0,False,too_quiet:-58.8dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_090.wav,0eDJFB70peE_seg_090.wav,0eDJFB70peE,True,16000,1,3.0,-60.3207,-41.9762,0.9999,0.0,False,too_quiet:-60.3dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_091.wav,0eDJFB70peE_seg_091.wav,0eDJFB70peE,True,16000,1,3.0,-47.9007,-12.6097,0.9922,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_092.wav,0eDJFB70peE_seg_092.wav,0eDJFB70peE,True,16000,1,3.0,-59.9989,-36.3819,0.9992,0.0,False,too_quiet:-60.0dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_093.wav,0eDJFB70peE_seg_093.wav,0eDJFB70peE,True,16000,1,3.0,-53.912,-27.5936,0.9857,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_094.wav,0eDJFB70peE_seg_094.wav,0eDJFB70peE,True,16000,1,3.0,-61.7509,-47.7669,1.0,0.0,False,too_quiet:-61.8dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_095.wav,0eDJFB70peE_seg_095.wav,0eDJFB70peE,True,16000,1,3.0,-48.0735,-20.7175,0.9785,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_096.wav,0eDJFB70peE_seg_096.wav,0eDJFB70peE,True,16000,1,3.0,-48.4399,-20.4454,0.9775,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_097.wav,0eDJFB70peE_seg_097.wav,0eDJFB70peE,True,16000,1,3.0,-53.2007,-22.6543,0.9805,0.0,False,mostly_silence:0.98
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_098.wav,0eDJFB70peE_seg_098.wav,0eDJFB70peE,True,16000,1,3.0,-60.9096,-44.4197,0.9999,0.0,False,too_quiet:-60.9dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_099.wav,0eDJFB70peE_seg_099.wav,0eDJFB70peE,True,16000,1,3.0,-48.4169,-14.4374,0.9623,0.0,False,mostly_silence:0.96
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_100.wav,0eDJFB70peE_seg_100.wav,0eDJFB70peE,True,16000,1,3.0,-55.3088,-27.9503,0.9916,0.0,False,too_quiet:-55.3dBFS;mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_101.wav,0eDJFB70peE_seg_101.wav,0eDJFB70peE,True,16000,1,3.0,-58.8147,-35.8893,0.9968,0.0,False,too_quiet:-58.8dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_102.wav,0eDJFB70peE_seg_102.wav,0eDJFB70peE,True,16000,1,3.0,-51.2714,-19.45,0.9869,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_103.wav,0eDJFB70peE_seg_103.wav,0eDJFB70peE,True,16000,1,3.0,-61.2655,-41.1817,1.0,0.0,False,too_quiet:-61.3dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_104.wav,0eDJFB70peE_seg_104.wav,0eDJFB70peE,True,16000,1,3.0,-46.8441,-16.9918,0.9704,0.0,False,mostly_silence:0.97
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_105.wav,0eDJFB70peE_seg_105.wav,0eDJFB70peE,True,16000,1,3.0,-52.4157,-25.8495,0.9877,0.0,False,mostly_silence:0.99
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_106.wav,0eDJFB70peE_seg_106.wav,0eDJFB70peE,True,16000,1,3.0,-55.4933,-21.5953,0.9962,0.0,False,too_quiet:-55.5dBFS;mostly_silence:1.00
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_107.wav,0eDJFB70peE_seg_107.wav,0eDJFB70peE,True,16000,1,3.0,-51.6273,-19.4202,0.9732,0.0,False,mostly_silence:0.97
data\interim\segmented\spasmodic_dysphonia\0eDJFB70peE_seg_108.wav,0eDJFB70peE_seg_108.wav,0eDJFB70peE,True,16000,1,3.0,-50.1817,-15.081,0.9956,0.0,False,mostly_silence:1.00
